Voxel_X,Voxel_Y,Voxel_Z,Uniformity_Value
-14.0,14.0,-16.0,3.6534850308353284
-12.0,14.0,4.0,3.6534850308353284
-18.0,14.0,-12.0,3.6534850308353284
46.0,16.0,36.0,3.6534850308353284
44.0,16.0,-2.0,3.6534850308353284
44.0,16.0,0.0,3.6534850308353284
2.0,16.0,38.0,3.6534850308353284
2.0,16.0,40.0,3.6534850308353284
2.0,16.0,42.0,3.6534850308353284
0.0,16.0,-16.0,3.6534850308353284
0.0,16.0,46.0,3.6534850308353284
0.0,16.0,48.0,3.6534850308353284
0.0,16.0,50.0,3.6534850308353284
-2.0,16.0,-16.0,3.6534850308353284
-2.0,16.0,-12.0,3.6534850308353284
-2.0,16.0,36.0,3.6534850308353284
-2.0,16.0,46.0,3.6534850308353284
-2.0,16.0,48.0,3.6534850308353284
-2.0,16.0,50.0,3.6534850308353284
-2.0,16.0,52.0,3.6534850308353284
-4.0,16.0,38.0,3.6534850308353284
-4.0,16.0,46.0,3.6534850308353284
-6.0,16.0,4.0,3.6534850308353284
-40.0,16.0,24.0,3.6534850308353284
-40.0,16.0,14.0,3.6534850308353284
-38.0,16.0,-4.0,3.6534850308353284
-38.0,16.0,-8.0,3.6534850308353284
-36.0,16.0,-8.0,3.6534850308353284
-32.0,16.0,-10.0,3.6534850308353284
2.0,16.0,-8.0,3.6534850308353284
-30.0,16.0,52.0,3.6534850308353284
-30.0,16.0,-12.0,3.6534850308353284
-18.0,16.0,-2.0,3.6534850308353284
-16.0,16.0,0.0,3.6534850308353284
-12.0,16.0,2.0,3.6534850308353284
-10.0,16.0,6.0,3.6534850308353284
-10.0,16.0,-2.0,3.6534850308353284
-30.0,16.0,-10.0,3.6534850308353284
2.0,16.0,-10.0,3.6534850308353284
2.0,16.0,-16.0,3.6534850308353284
4.0,16.0,42.0,3.6534850308353284
28.0,16.0,4.0,3.6534850308353284
28.0,16.0,-4.0,3.6534850308353284
30.0,16.0,-6.0,3.6534850308353284
32.0,16.0,-6.0,3.6534850308353284
34.0,16.0,-6.0,3.6534850308353284
34.0,16.0,-8.0,3.6534850308353284
26.0,16.0,0.0,3.6534850308353284
36.0,16.0,6.0,3.6534850308353284
40.0,16.0,8.0,3.6534850308353284
40.0,16.0,2.0,3.6534850308353284
40.0,16.0,-4.0,3.6534850308353284
40.0,16.0,-6.0,3.6534850308353284
42.0,16.0,0.0,3.6534850308353284
44.0,16.0,26.0,3.6534850308353284
38.0,16.0,6.0,3.6534850308353284
-42.0,16.0,-8.0,3.6534850308353284
14.0,16.0,8.0,3.6534850308353284
12.0,16.0,4.0,3.6534850308353284
4.0,16.0,38.0,3.6534850308353284
4.0,16.0,36.0,3.6534850308353284
4.0,16.0,-4.0,3.6534850308353284
4.0,16.0,-8.0,3.6534850308353284
6.0,16.0,48.0,3.6534850308353284
6.0,16.0,46.0,3.6534850308353284
12.0,16.0,-4.0,3.6534850308353284
6.0,16.0,44.0,3.6534850308353284
6.0,16.0,-10.0,3.6534850308353284
-8.0,62.0,24.0,3.6534850308353284
8.0,16.0,46.0,3.6534850308353284
8.0,16.0,44.0,3.6534850308353284
8.0,16.0,-8.0,3.6534850308353284
10.0,16.0,34.0,3.6534850308353284
6.0,16.0,-4.0,3.6534850308353284
-8.0,14.0,-2.0,3.6534850308353284
-42.0,18.0,2.0,3.6534850308353284
-42.0,18.0,24.0,3.6534850308353284
44.0,22.0,28.0,3.6534850308353284
42.0,22.0,4.0,3.6534850308353284
42.0,22.0,24.0,3.6534850308353284
42.0,22.0,26.0,3.6534850308353284
40.0,22.0,-12.0,3.6534850308353284
40.0,22.0,8.0,3.6534850308353284
36.0,22.0,10.0,3.6534850308353284
34.0,22.0,-14.0,3.6534850308353284
34.0,22.0,-12.0,3.6534850308353284
32.0,22.0,-12.0,3.6534850308353284
32.0,22.0,8.0,3.6534850308353284
30.0,22.0,-10.0,3.6534850308353284
26.0,22.0,-2.0,3.6534850308353284
26.0,22.0,0.0,3.6534850308353284
26.0,22.0,2.0,3.6534850308353284
20.0,22.0,6.0,3.6534850308353284
18.0,22.0,6.0,3.6534850308353284
8.0,22.0,44.0,3.6534850308353284
8.0,22.0,42.0,3.6534850308353284
8.0,22.0,38.0,3.6534850308353284
8.0,22.0,30.0,3.6534850308353284
8.0,22.0,28.0,3.6534850308353284
10.0,22.0,46.0,3.6534850308353284
44.0,22.0,26.0,3.6534850308353284
10.0,22.0,44.0,3.6534850308353284
10.0,22.0,38.0,3.6534850308353284
10.0,22.0,22.0,3.6534850308353284
12.0,22.0,42.0,3.6534850308353284
12.0,22.0,40.0,3.6534850308353284
14.0,22.0,44.0,3.6534850308353284
14.0,22.0,32.0,3.6534850308353284
10.0,22.0,42.0,3.6534850308353284
6.0,22.0,-10.0,3.6534850308353284
44.0,22.0,24.0,3.6534850308353284
44.0,22.0,16.0,3.6534850308353284
-46.0,20.0,10.0,3.6534850308353284
-46.0,20.0,28.0,3.6534850308353284
-46.0,20.0,32.0,3.6534850308353284
-48.0,20.0,0.0,3.6534850308353284
-48.0,20.0,8.0,3.6534850308353284
-48.0,20.0,22.0,3.6534850308353284
-50.0,20.0,2.0,3.6534850308353284
-50.0,20.0,4.0,3.6534850308353284
-50.0,20.0,6.0,3.6534850308353284
-50.0,20.0,22.0,3.6534850308353284
58.0,22.0,28.0,3.6534850308353284
56.0,22.0,28.0,3.6534850308353284
56.0,22.0,32.0,3.6534850308353284
52.0,22.0,12.0,3.6534850308353284
52.0,22.0,14.0,3.6534850308353284
52.0,22.0,26.0,3.6534850308353284
50.0,22.0,-12.0,3.6534850308353284
44.0,22.0,12.0,3.6534850308353284
44.0,22.0,10.0,3.6534850308353284
46.0,22.0,30.0,3.6534850308353284
46.0,22.0,28.0,3.6534850308353284
46.0,22.0,26.0,3.6534850308353284
46.0,22.0,20.0,3.6534850308353284
44.0,22.0,20.0,3.6534850308353284
46.0,22.0,16.0,3.6534850308353284
48.0,22.0,20.0,3.6534850308353284
48.0,22.0,14.0,3.6534850308353284
50.0,22.0,40.0,3.6534850308353284
50.0,22.0,26.0,3.6534850308353284
50.0,22.0,-6.0,3.6534850308353284
50.0,22.0,-8.0,3.6534850308353284
48.0,22.0,30.0,3.6534850308353284
4.0,22.0,-12.0,3.6534850308353284
4.0,22.0,-10.0,3.6534850308353284
4.0,22.0,26.0,3.6534850308353284
-42.0,22.0,12.0,3.6534850308353284
-42.0,22.0,14.0,3.6534850308353284
-42.0,22.0,24.0,3.6534850308353284
-42.0,22.0,34.0,3.6534850308353284
-44.0,22.0,-8.0,3.6534850308353284
-44.0,22.0,16.0,3.6534850308353284
-44.0,22.0,20.0,3.6534850308353284
-44.0,22.0,22.0,3.6534850308353284
-46.0,22.0,-6.0,3.6534850308353284
-46.0,22.0,-4.0,3.6534850308353284
-46.0,22.0,2.0,3.6534850308353284
-46.0,22.0,6.0,3.6534850308353284
-46.0,22.0,8.0,3.6534850308353284
-46.0,22.0,10.0,3.6534850308353284
-46.0,22.0,12.0,3.6534850308353284
-46.0,22.0,14.0,3.6534850308353284
-46.0,22.0,18.0,3.6534850308353284
-52.0,22.0,16.0,3.6534850308353284
-52.0,22.0,6.0,3.6534850308353284
-50.0,22.0,24.0,3.6534850308353284
-50.0,22.0,22.0,3.6534850308353284
-50.0,22.0,20.0,3.6534850308353284
-50.0,22.0,18.0,3.6534850308353284
-42.0,22.0,8.0,3.6534850308353284
-50.0,22.0,16.0,3.6534850308353284
-48.0,22.0,20.0,3.6534850308353284
-48.0,22.0,18.0,3.6534850308353284
-48.0,22.0,6.0,3.6534850308353284
-48.0,22.0,2.0,3.6534850308353284
-48.0,22.0,0.0,3.6534850308353284
-48.0,22.0,-2.0,3.6534850308353284
-48.0,22.0,22.0,3.6534850308353284
-40.0,22.0,26.0,3.6534850308353284
-40.0,22.0,24.0,3.6534850308353284
-40.0,22.0,12.0,3.6534850308353284
-12.0,22.0,36.0,3.6534850308353284
-10.0,22.0,38.0,3.6534850308353284
-10.0,22.0,36.0,3.6534850308353284
-8.0,22.0,36.0,3.6534850308353284
-4.0,22.0,-10.0,3.6534850308353284
-4.0,22.0,-16.0,3.6534850308353284
-12.0,22.0,38.0,3.6534850308353284
-2.0,22.0,40.0,3.6534850308353284
-2.0,22.0,-16.0,3.6534850308353284
