Voxel_X,Voxel_Y,Voxel_Z,Uniformity_Value,Association_Value
56.0,-42.0,8.0,3.6534850308353284,0.0
56.0,-42.0,10.0,3.6534850308353284,0.0
56.0,-14.0,-24.0,3.6534850308353284,0.0
56.0,-14.0,-22.0,3.6534850308353284,0.0
56.0,-14.0,-16.0,3.6534850308353284,0.0
56.0,-12.0,-16.0,3.6534850308353284,0.0
56.0,-10.0,-16.0,4.46881300427029,0.0
56.0,-10.0,-2.0,3.6534850308353284,0.0
56.0,-8.0,-18.0,3.6534850308353284,0.0
56.0,-8.0,-16.0,3.6534850308353284,0.0
56.0,18.0,32.0,3.6534850308353284,0.0
56.0,22.0,28.0,3.6534850308353284,0.0
56.0,22.0,32.0,3.6534850308353284,0.0
56.0,24.0,28.0,3.6534850308353284,0.0
56.0,26.0,4.0,3.6534850308353284,0.0
54.0,-56.0,24.0,3.6534850308353284,0.0
54.0,-56.0,26.0,3.6534850308353284,0.0
54.0,-56.0,28.0,3.6534850308353284,0.0
54.0,-56.0,32.0,3.6534850308353284,0.0
54.0,-54.0,20.0,3.6534850308353284,0.0
54.0,-54.0,26.0,3.6534850308353284,0.0
54.0,-54.0,28.0,3.6534850308353284,0.0
54.0,-50.0,12.0,3.6534850308353284,0.0
54.0,-50.0,14.0,4.46881300427029,0.0
54.0,-50.0,16.0,3.6534850308353284,0.0
54.0,-50.0,18.0,3.6534850308353284,0.0
54.0,-50.0,20.0,4.46881300427029,0.0
54.0,-50.0,22.0,3.6534850308353284,0.0
54.0,-48.0,10.0,3.6534850308353284,0.0
54.0,-48.0,12.0,5.284140977705252,0.0
54.0,-48.0,14.0,3.6534850308353284,0.0
54.0,-48.0,16.0,5.284140977705252,0.0
54.0,-48.0,18.0,3.6534850308353284,0.0
54.0,-48.0,20.0,4.46881300427029,0.0
54.0,-48.0,22.0,3.6534850308353284,0.0
54.0,-48.0,24.0,4.46881300427029,0.0
54.0,-48.0,28.0,3.6534850308353284,0.0
54.0,-46.0,8.0,4.46881300427029,0.0
54.0,-46.0,10.0,4.46881300427029,0.0
54.0,-46.0,12.0,5.284140977705252,0.0
54.0,-46.0,14.0,3.6534850308353284,0.0
54.0,-46.0,16.0,5.284140977705252,0.0
54.0,-46.0,20.0,3.6534850308353284,0.0
54.0,-46.0,22.0,3.6534850308353284,0.0
54.0,-46.0,24.0,3.6534850308353284,0.0
54.0,-44.0,8.0,4.46881300427029,0.0
54.0,-44.0,10.0,4.46881300427029,0.0
54.0,-42.0,8.0,3.6534850308353284,0.0
54.0,-42.0,10.0,3.6534850308353284,0.0
54.0,-8.0,-16.0,3.6534850308353284,0.0
54.0,12.0,28.0,3.6534850308353284,-0.0
54.0,12.0,30.0,3.6534850308353284,0.0
54.0,14.0,-8.0,4.46881300427029,0.0
54.0,14.0,30.0,6.099468951140214,0.0
54.0,14.0,32.0,3.6534850308353284,0.0
54.0,16.0,-4.0,3.6534850308353284,0.0
54.0,16.0,28.0,3.6534850308353284,0.0
54.0,16.0,30.0,4.46881300427029,0.0
54.0,16.0,32.0,5.284140977705252,0.0
54.0,16.0,34.0,3.6534850308353284,0.0
54.0,18.0,28.0,5.284140977705252,0.0
54.0,18.0,30.0,3.6534850308353284,0.0
54.0,18.0,32.0,5.284140977705252,0.0
54.0,18.0,34.0,3.6534850308353284,0.0
54.0,20.0,28.0,4.46881300427029,0.0
54.0,20.0,30.0,3.6534850308353284,0.0
54.0,20.0,32.0,3.6534850308353284,0.0
54.0,20.0,36.0,3.6534850308353284,0.0
54.0,22.0,30.0,6.099468951140214,0.0
54.0,22.0,32.0,5.284140977705252,0.0
54.0,22.0,34.0,4.46881300427029,0.0
54.0,24.0,4.0,3.6534850308353284,0.0
54.0,24.0,6.0,3.6534850308353284,0.0
54.0,24.0,30.0,3.6534850308353284,0.0
54.0,24.0,32.0,3.6534850308353284,0.0
54.0,26.0,4.0,3.6534850308353284,0.0
54.0,26.0,6.0,3.6534850308353284,0.0
54.0,26.0,30.0,3.6534850308353284,0.0
54.0,30.0,4.0,3.6534850308353284,0.0
52.0,-74.0,-4.0,3.6534850308353284,0.0
52.0,-74.0,-2.0,3.6534850308353284,0.0
52.0,-60.0,32.0,3.6534850308353284,0.0
52.0,-56.0,30.0,3.6534850308353284,0.0
52.0,-54.0,24.0,4.46881300427029,0.0
52.0,-54.0,28.0,3.6534850308353284,0.0
52.0,-54.0,30.0,3.6534850308353284,0.0
52.0,-48.0,12.0,4.46881300427029,0.0
52.0,-48.0,14.0,3.6534850308353284,0.0
52.0,-48.0,16.0,4.46881300427029,0.0
52.0,-48.0,20.0,3.6534850308353284,0.0
52.0,-48.0,22.0,3.6534850308353284,0.0
52.0,-46.0,10.0,3.6534850308353284,0.0
52.0,-46.0,12.0,3.6534850308353284,0.0
52.0,-46.0,16.0,3.6534850308353284,0.0
52.0,-8.0,-12.0,3.6534850308353284,0.0
52.0,8.0,-8.0,3.6534850308353284,0.0
52.0,8.0,-6.0,3.6534850308353284,0.0
52.0,8.0,32.0,3.6534850308353284,-0.0
52.0,10.0,-10.0,4.46881300427029,0.0
52.0,10.0,-8.0,5.284140977705252,0.0
52.0,10.0,-6.0,4.46881300427029,0.0
52.0,10.0,28.0,4.46881300427029,-0.0
52.0,10.0,30.0,3.6534850308353284,-0.0
52.0,10.0,32.0,3.6534850308353284,-0.0
52.0,10.0,34.0,3.6534850308353284,-0.0
52.0,12.0,-12.0,4.46881300427029,0.0
52.0,12.0,-8.0,4.46881300427029,0.0
52.0,12.0,-6.0,3.6534850308353284,0.0
52.0,12.0,-4.0,4.46881300427029,0.0
52.0,12.0,28.0,3.6534850308353284,-0.0
52.0,12.0,30.0,5.284140977705252,0.0
52.0,14.0,-12.0,4.46881300427029,0.0
52.0,14.0,-10.0,5.284140977705252,0.0
52.0,14.0,-8.0,5.284140977705252,0.0
52.0,14.0,-6.0,3.6534850308353284,0.0
52.0,14.0,-4.0,5.284140977705252,0.0
52.0,14.0,26.0,4.46881300427029,-0.0
52.0,14.0,28.0,6.099468951140214,0.0
52.0,14.0,30.0,6.099468951140214,0.0
52.0,14.0,32.0,4.46881300427029,0.0
52.0,14.0,34.0,4.46881300427029,0.0
52.0,16.0,-12.0,4.46881300427029,0.0
52.0,16.0,-10.0,4.46881300427029,0.0
52.0,16.0,-8.0,5.284140977705252,0.0
52.0,16.0,-6.0,4.46881300427029,0.0
52.0,16.0,-4.0,4.46881300427029,0.0
52.0,16.0,26.0,3.6534850308353284,0.0
52.0,16.0,28.0,6.9147969245751755,0.0
52.0,16.0,30.0,6.9147969245751755,0.0
52.0,16.0,32.0,6.9147969245751755,0.0
52.0,16.0,34.0,4.46881300427029,0.0
52.0,18.0,-10.0,4.46881300427029,0.0
52.0,18.0,-8.0,5.284140977705252,0.0
52.0,18.0,-6.0,3.6534850308353284,0.0
52.0,18.0,14.0,3.6534850308353284,0.0
52.0,18.0,16.0,3.6534850308353284,0.0
52.0,18.0,28.0,5.284140977705252,0.0
52.0,18.0,30.0,5.284140977705252,0.0
52.0,18.0,32.0,6.099468951140214,0.0
